time_s,state,frame_valid,truth_cn0_db_hz,estimated_cn0_valid,estimated_cn0_db_hz,fll_locked,dll_locked,doppler_error_hz,code_phase_error_chips
0.02000000,PullIn,1,40.00000000,0,0.00000000,0,0,-62.50200000,0.29836170
1.00000000,PullIn,1,40.00000000,1,38.07363656,0,1,-5.60380916,0.14476288
2.00000000,PullIn,1,40.00000000,1,38.65268091,0,1,13.10718761,0.06584169
3.00000000,PullIn,1,40.00000000,1,38.99794975,1,1,11.17913541,0.01751847
4.00000000,PullIn,1,40.00000000,1,39.14586851,0,1,5.81745975,-0.01638527
5.00000000,PullIn,1,40.00000000,1,39.43173463,1,1,1.77285033,-0.04033406
6.00000000,PullIn,1,40.00000000,1,39.58149728,1,1,0.09337427,-0.05485977
7.00000000,PullIn,1,40.00000000,1,39.45264340,1,1,-0.39925744,-0.05947969
8.00000000,PullIn,1,40.00000000,1,39.33181691,1,1,-0.39194714,-0.05411201
9.00000000,PullIn,1,40.00000000,1,39.30983519,1,1,-0.09988639,-0.04676047
10.00000000,Lock,1,40.00000000,1,39.43323614,1,1,0.45242812,-0.03487474
11.00000000,Lock,1,40.00000000,1,39.31641102,1,1,0.10204324,-0.02493078
12.00000000,Lock,1,40.00000000,1,39.45052893,1,1,0.03487727,-0.01641396
13.00000000,Lock,1,40.00000000,1,39.68432903,1,1,-0.04813753,-0.01131919
14.00000000,Lock,1,40.00000000,1,39.72580419,1,1,-0.16609415,-0.00697420
15.00000000,Lock,1,40.00000000,1,39.59405605,1,1,0.17725771,-0.00152216
16.00000000,Lock,1,40.00000000,1,39.70599312,1,1,0.84932389,0.00292219
17.00000000,Lock,1,40.00000000,1,39.56986573,1,1,0.10554058,0.00521929
18.00000000,Lock,1,40.00000000,1,39.56198509,1,1,-0.68044914,0.00324177
19.00000000,Lock,1,40.00000000,1,39.69023570,1,1,0.02067204,0.00375588
20.00000000,Sync,1,40.00000000,1,39.65170220,1,1,0.10623677,0.00303242
21.00000000,Sync,1,40.00000000,1,39.61711091,1,1,0.06296281,0.00206658
22.00000000,Sync,1,40.00000000,1,39.57651213,1,1,0.08179253,0.00463654
23.00000000,Sync,1,40.00000000,1,39.50894296,1,1,0.08203330,0.00430466
24.00000000,Sync,1,40.00000000,1,39.40600706,1,1,0.11529318,0.00644359
25.00000000,Sync,1,40.00000000,1,39.45614601,1,1,-0.11316613,0.00366247
26.00000000,Sync,1,40.00000000,1,39.55236916,1,1,-0.13507205,0.00369318
27.00000000,Sync,1,40.00000000,1,39.62019744,1,1,-0.12594651,0.00212945
28.00000000,Sync,1,40.00000000,1,39.59431391,1,1,0.06666238,0.00227614
29.00000000,Sync,1,40.00000000,1,39.52546438,1,1,-0.05638253,-0.00010362
30.00000000,Track,1,40.00000000,1,39.37938900,1,1,0.07418389,-0.00521141
31.00000000,Track,1,40.00000000,1,39.45274343,1,1,0.45179496,-0.00818592
32.00000000,Track,1,40.00000000,1,39.34838972,1,1,0.45731013,-0.00946754
33.00000000,Track,1,40.00000000,1,39.41386018,1,1,0.40138800,-0.01200276
34.00000000,Track,1,40.00000000,1,39.43739961,1,1,0.10104166,-0.01418011
35.00000000,Track,1,40.00000000,1,39.23289801,1,1,-0.03736318,-0.01449419
36.00000000,Track,1,40.00000000,1,39.35335132,1,1,-0.01320627,-0.01480366
37.00000000,Track,1,40.00000000,1,39.51114640,1,1,-0.00258757,-0.01273268
38.00000000,Track,1,40.00000000,1,39.34889799,1,1,0.03481943,-0.01085346
39.00000000,Track,1,40.00000000,1,39.44522822,1,1,-0.00894420,-0.01015411
40.00000000,Track,1,40.00000000,1,39.47278872,1,1,0.04523414,-0.01001218
41.00000000,Track,1,40.00000000,1,39.51742588,1,1,-0.02950592,-0.00857988
42.00000000,Track,1,40.00000000,1,39.75206864,1,1,-0.00197299,-0.00881576
43.00000000,Track,1,40.00000000,1,39.73676217,1,1,0.02260516,-0.00591542
44.00000000,Track,1,40.00000000,1,39.51608195,1,1,0.03596510,-0.00414645
45.00000000,Track,1,40.00000000,1,39.39718999,1,1,-0.01479737,-0.00437397
46.00000000,Track,1,40.00000000,1,39.43503605,1,1,0.02004047,-0.00198255
47.00000000,Track,1,40.00000000,1,39.48389353,1,1,0.01882553,-0.00220024
48.00000000,Track,1,40.00000000,1,39.58988294,1,1,0.00528702,-0.00264652
49.00000000,Track,1,40.00000000,1,39.48964508,1,1,0.00659839,-0.00188122
50.00000000,Track,1,40.00000000,1,39.40470661,1,1,0.06170591,-0.00055751
