scenario,time_s,frame_id,state,state_pending,frame_valid,cn0_valid,cn0_method,cn0_window_blocks,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,fll_locked,dll_locked,fll_latest_hz,fll_mean_hz,fll_se_hz,dll_mean_chips,doppler_hz,tracked_code_phase_chips,coherent_ms,noncoherent_blocks,carrier_obs_ms,carrier_update_ms,dll_obs_ms,dll_update_ms,use_phase,use_frequency,carrier_rate_hz_s,kf_rate_noise_hz2_s3,kf_health_valid,kf_freq_sigma_hz,kf_rate_sigma_hz_s,kf_freq_nis,kf_freq_accept_ratio,truth_doppler_hz,doppler_error_hz,truth_doppler_rate_hz_s,rate_error_hz_s,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
pullin_22db_fm62p5_cp0p30,0.02000000,1,PullIn,0,1,0,M2M4,1000,0.00000000,0,0.00000000,0.36011264,0,1,0.00000000,0.00000000,0.00000000,0.02864949,4562.50000000,200.35925325,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,0.00000000,0.00000100,0,100.00000060,0.50000002,1.00000000,1.00000000,4500.00092360,62.49907640,0.04618032,-0.04618032,200.05844156,0.30081168,22.00000000
pullin_22db_fm62p5_cp0p30,1.00000000,50,PullIn,0,1,0,M2M4,1000,0.00000000,0,0.00000000,0.13702551,0,1,5.27628869,3.88946043,3.37163594,-0.00986534,4498.33074813,203.09721339,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,0.07448041,0.00000092,1,2.52001174,0.49921606,0.98733528,1.00000000,4500.04617798,-1.71542984,0.04616406,0.02831635,202.92209292,0.17512047,22.00000000
pullin_22db_fm62p5_cp0p30,2.00000000,100,PullIn,0,1,0,M2M4,1000,19.39950512,0,0.00000000,0.06443172,1,1,40.90940508,4.50117146,1.86306225,-0.01034763,4500.22417011,205.72679474,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,0.12640373,0.00000084,1,2.16644485,0.49764384,0.45401020,1.00000000,4500.09230423,0.13186588,0.04607652,0.08032721,205.84421580,-0.11742107,22.00000000
pullin_22db_fm62p5_cp0p30,3.00000000,150,PullIn,0,1,1,M2M4,1000,20.75410041,0,0.00000000,0.03599709,0,1,-8.89962141,6.33208693,1.51203441,-0.00069285,4500.85619059,208.59621037,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,0.16662527,0.00000077,1,2.23204766,0.49360415,0.28141496,1.00000000,4500.13830723,0.71788335,0.04591762,0.12070765,208.76636861,-0.17015824,22.00000000
pullin_22db_fm62p5_cp0p30,4.00000000,200,PullIn,0,1,1,M2M4,1000,22.39635476,0,0.00000000,0.02582573,1,1,-35.21580211,4.01595310,1.63152462,0.01194642,4500.77462422,211.69760542,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,0.12917967,0.00000071,1,2.13359782,0.47283960,0.31616142,1.00000000,4500.18411585,0.59050838,0.04568784,0.08349183,211.68855123,0.00905420,22.00000000
pullin_22db_fm62p5_cp0p30,5.00000000,250,PullIn,0,1,1,M2M4,1000,23.46666263,0,0.00000000,0.01923842,1,1,-3.16370687,2.25145285,1.54858845,0.01018402,4500.29563628,214.82266357,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,0.07639345,0.00000065,1,2.05323146,0.44526625,0.35157791,1.00000000,4500.22965952,0.06597676,0.04538788,0.03100557,214.61076351,0.21190006,22.00000000
pullin_22db_fm62p5_cp0p30,6.00000000,300,Lock,0,1,0,NWPR,500,0.00000000,1,21.49766276,0.78309754,0,1,-1.64884325,-1.05102434,1.72681089,-0.06233798,4499.04569814,217.78898405,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.07155033,0.00000060,1,0.80298309,0.43398572,1.58883765,1.00000000,4500.27486850,-1.22917036,0.04501860,-0.11656893,217.53300526,0.25597879,22.00000000
pullin_22db_fm62p5_cp0p30,7.00000000,350,Lock,0,1,0,NWPR,500,0.00000000,1,17.87706181,0.40659255,1,1,8.68268430,0.89656017,0.67408177,-0.06697869,4501.24662745,220.48536506,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,0,1,0.64844612,0.00000055,1,0.49776343,0.37393195,2.24202963,1.00000000,4500.31967397,0.92695347,0.04458108,0.60386504,220.45527624,0.03008882,22.00000000
pullin_22db_fm62p5_cp0p30,8.00000000,400,Lock,0,1,0,NWPR,200,0.00000000,1,21.09341663,0.26918424,1,1,-3.01863942,0.18098960,0.47980072,-0.03340517,4500.88758174,223.34003604,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,0,1,0.27108702,0.00000051,1,0.47238684,0.28873771,2.08899154,1.00000000,4500.36400832,0.52357342,0.04407656,0.22701046,223.37757616,-0.03754012,22.00000000
pullin_22db_fm62p5_cp0p30,9.00000000,450,Lock,0,1,0,NWPR,200,0.00000000,1,19.65828304,0.23140624,1,1,0.76344569,0.06235972,0.45358157,0.01841131,4500.81606969,226.31613914,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,0,1,0.17067563,0.00000047,1,0.44715509,0.21197686,2.40590257,1.00000000,4500.40780525,0.40826444,0.04350650,0.12716913,226.29990470,0.01623444,22.00000000
