scenario,time_s,frame_id,event,from_state,to_state,command_id
pullin_24db_fm62p5_cp0p3,0.56000000,28,SyncReady,PullIn,PullIn,28
pullin_24db_fm62p5_cp0p3,1.72000000,86,StateRequested,PullIn,Lock,87
pullin_24db_fm62p5_cp0p3,1.74000000,87,StateCommitted,PullIn,Lock,87
pullin_24db_fm62p5_cp0p3,1.74000000,87,TrackingReady,PullIn,Lock,87
pullin_24db_fm62p5_cp0p3,4.22000000,211,StateRequested,Lock,Strong,212
pullin_24db_fm62p5_cp0p3,4.24000000,212,StateCommitted,Lock,Strong,212
pullin_24db_fm62p5_cp0p3,10.70000000,535,StateRequested,Strong,LongFast,536
pullin_24db_fm62p5_cp0p3,10.72000000,536,StateCommitted,Strong,LongFast,536
pullin_24db_fm62p5_cp0p3,13.90000000,695,StateRequested,LongFast,LongLock,696
pullin_24db_fm62p5_cp0p3,13.92000000,696,StateCommitted,LongFast,LongLock,696
pullin_24db_fm62p5_cp0p3,17.10000000,855,StateRequested,LongLock,Medium,856
pullin_24db_fm62p5_cp0p3,17.12000000,856,StateCommitted,LongLock,Medium,856
pullin_24db_fp0_cp0p3,0.56000000,28,SyncReady,PullIn,PullIn,28
pullin_24db_fp0_cp0p3,1.70000000,85,StateRequested,PullIn,Lock,86
pullin_24db_fp0_cp0p3,1.72000000,86,StateCommitted,PullIn,Lock,86
pullin_24db_fp0_cp0p3,1.72000000,86,TrackingReady,PullIn,Lock,86
pullin_24db_fp0_cp0p3,4.20000000,210,StateRequested,Lock,Strong,211
pullin_24db_fp0_cp0p3,4.22000000,211,StateCommitted,Lock,Strong,211
pullin_24db_fp0_cp0p3,10.68000000,534,StateRequested,Strong,LongFast,535
pullin_24db_fp0_cp0p3,10.70000000,535,StateCommitted,Strong,LongFast,535
pullin_24db_fp0_cp0p3,13.88000000,694,StateRequested,LongFast,LongLock,695
pullin_24db_fp0_cp0p3,13.90000000,695,StateCommitted,LongFast,LongLock,695
pullin_24db_fp0_cp0p3,17.08000000,854,StateRequested,LongLock,Medium,855
pullin_24db_fp0_cp0p3,17.10000000,855,StateCommitted,LongLock,Medium,855
pullin_24db_fp62p5_cm0p3,0.56000000,28,SyncReady,PullIn,PullIn,28
pullin_24db_fp62p5_cm0p3,2.16000000,108,StateRequested,PullIn,Lock,109
pullin_24db_fp62p5_cm0p3,2.18000000,109,StateCommitted,PullIn,Lock,109
pullin_24db_fp62p5_cm0p3,2.18000000,109,TrackingReady,PullIn,Lock,109
pullin_24db_fp62p5_cm0p3,3.66000000,183,StateRequested,Lock,Strong,184
pullin_24db_fp62p5_cm0p3,3.68000000,184,StateCommitted,Lock,Strong,184
pullin_24db_fp62p5_cm0p3,11.14000000,557,StateRequested,Strong,LongFast,558
pullin_24db_fp62p5_cm0p3,11.16000000,558,StateCommitted,Strong,LongFast,558
pullin_24db_fp62p5_cm0p3,14.34000000,717,StateRequested,LongFast,LongLock,718
pullin_24db_fp62p5_cm0p3,14.36000000,718,StateCommitted,LongFast,LongLock,718
pullin_24db_fp62p5_cm0p3,17.54000000,877,StateRequested,LongLock,Medium,878
pullin_24db_fp62p5_cm0p3,17.56000000,878,StateCommitted,LongLock,Medium,878
pullin_24db_fp62p5_cp0,0.56000000,28,SyncReady,PullIn,PullIn,28
pullin_24db_fp62p5_cp0,1.58000000,79,StateRequested,PullIn,Lock,80
pullin_24db_fp62p5_cp0,1.60000000,80,StateCommitted,PullIn,Lock,80
pullin_24db_fp62p5_cp0,1.60000000,80,TrackingReady,PullIn,Lock,80
pullin_24db_fp62p5_cp0,3.02000000,151,StateRequested,Lock,Strong,152
pullin_24db_fp62p5_cp0,3.04000000,152,StateCommitted,Lock,Strong,152
pullin_24db_fp62p5_cp0,10.56000000,528,StateRequested,Strong,LongFast,529
pullin_24db_fp62p5_cp0,10.58000000,529,StateCommitted,Strong,LongFast,529
pullin_24db_fp62p5_cp0,13.76000000,688,StateRequested,LongFast,LongLock,689
pullin_24db_fp62p5_cp0,13.78000000,689,StateCommitted,LongFast,LongLock,689
pullin_24db_fp62p5_cp0,16.96000000,848,StateRequested,LongLock,Medium,849
pullin_24db_fp62p5_cp0,16.98000000,849,StateCommitted,LongLock,Medium,849
pullin_24db_fp62p5_cp0p3,0.56000000,28,SyncReady,PullIn,PullIn,28
pullin_24db_fp62p5_cp0p3,1.70000000,85,StateRequested,PullIn,Lock,86
pullin_24db_fp62p5_cp0p3,1.72000000,86,StateCommitted,PullIn,Lock,86
pullin_24db_fp62p5_cp0p3,1.72000000,86,TrackingReady,PullIn,Lock,86
pullin_24db_fp62p5_cp0p3,5.14000000,257,StateRequested,Lock,Strong,258
pullin_24db_fp62p5_cp0p3,5.16000000,258,StateCommitted,Lock,Strong,258
pullin_24db_fp62p5_cp0p3,10.68000000,534,StateRequested,Strong,LongFast,535
pullin_24db_fp62p5_cp0p3,10.70000000,535,StateCommitted,Strong,LongFast,535
pullin_24db_fp62p5_cp0p3,13.88000000,694,StateRequested,LongFast,LongLock,695
pullin_24db_fp62p5_cp0p3,13.90000000,695,StateCommitted,LongFast,LongLock,695
pullin_24db_fp62p5_cp0p3,17.08000000,854,StateRequested,LongLock,Medium,855
pullin_24db_fp62p5_cp0p3,17.10000000,855,StateCommitted,LongLock,Medium,855
pullin_30db_fp62p5_cp0p3,0.56000000,28,SyncReady,PullIn,PullIn,28
pullin_30db_fp62p5_cp0p3,1.12000000,56,StateRequested,PullIn,Lock,57
pullin_30db_fp62p5_cp0p3,1.14000000,57,StateCommitted,PullIn,Lock,57
pullin_30db_fp62p5_cp0p3,1.14000000,57,TrackingReady,PullIn,Lock,57
