scenario,time_s,frame_id,state,state_pending,frame_valid,cn0_valid,cn0_method,cn0_window_blocks,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,cn0_control_valid,cn0_control_db_hz,pli,fll_locked,dll_locked,fll_latest_hz,fll_mean_hz,fll_se_hz,dll_mean_chips,doppler_hz,tracked_code_phase_chips,coherent_ms,noncoherent_blocks,carrier_obs_ms,carrier_update_ms,dll_obs_ms,dll_update_ms,use_phase,use_frequency,carrier_rate_hz_s,kf_rate_noise_hz2_s3,kf_health_valid,kf_freq_sigma_hz,kf_rate_sigma_hz_s,kf_freq_nis,kf_freq_accept_ratio,truth_doppler_hz,doppler_error_hz,truth_doppler_rate_hz_s,rate_error_hz_s,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
pullin_24db_fm62p5_cp0p3,0.02000000,1,PullIn,0,1,0,M2M4,1000,0.00000000,0,0.00000000,0,0.00000000,0.13583959,0,1,0.00000000,0.00000000,0.00000000,0.00057507,4562.50000000,200.41959371,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,0.00000000,0.00000100,0,100.00000060,0.50000002,1.00000000,1.00000000,4500.00092360,62.49907640,0.04618032,-0.04618032,200.11795545,0.30163826,24.00000000
pullin_24db_fm62p5_cp0p3,1.00000000,50,PullIn,0,1,0,M2M4,1000,0.00000000,0,0.00000000,0,0.00000000,0.09184539,0,1,-2.42916640,-1.27028153,2.04088060,-0.01911299,4500.95447068,205.91755164,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,0.00729118,0.00000092,1,2.31320628,0.49916388,0.65383603,1.00000000,4500.04617798,0.90829270,0.04616406,-0.03887288,205.89780222,0.01974942,24.00000000
pullin_24db_fm62p5_cp0p3,2.00000000,100,Lock,0,1,0,NWPR,1500,0.00000000,1,22.32399243,0,0.00000000,0.95881931,0,0,3.82656744,0.39005058,1.62064817,0.11916051,4500.02980693,211.58420058,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.01768624,0.00000084,1,0.84008907,0.48831218,1.32398855,1.00000000,4500.09230423,-0.06249730,0.04607652,-0.06376277,211.79566493,-0.21146434,24.00000000
pullin_24db_fm62p5_cp0p3,3.00000000,150,Lock,0,1,0,NWPR,1500,0.00000000,1,23.39273010,1,22.53888317,0.64303742,1,0,-0.31968497,0.10948104,0.54719884,0.12425620,4500.12769816,217.71575004,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,0,1,0.01195202,0.00000077,1,0.55014675,0.44490815,1.18724516,1.00000000,4500.13830723,-0.01060907,0.04591762,-0.03396560,217.69358802,0.02216202,24.00000000
pullin_24db_fm62p5_cp0p3,4.00000000,200,Lock,0,1,0,NWPR,200,0.00000000,1,21.98247917,1,23.80152732,0.58608416,1,1,4.30156473,0.11544480,0.37417737,0.05727683,4500.25368817,223.60639826,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,0,1,0.06566302,0.00000071,1,0.56259465,0.34149447,0.92204163,1.00000000,4500.18411585,0.06957233,0.04568784,0.01997518,223.59157128,0.01482698,24.00000000
pullin_24db_fm62p5_cp0p3,5.00000000,250,Strong,0,1,0,NWPR,200,0.00000000,1,24.83755530,1,23.77123700,0.73183780,1,1,1.80438167,0.09262576,0.66406875,0.03067516,4500.25226310,229.50152457,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.01629057,0.00000065,0,0.06328759,0.10969099,1.00000000,1.00000000,4500.22965952,0.02260358,0.04538788,-0.02909731,229.48961442,0.01191015,24.00000000
pullin_24db_fm62p5_cp0p3,6.00000000,300,Strong,0,1,1,NWPR,200,23.40795351,1,23.05285485,1,23.35362427,0.80052104,1,1,3.44608189,0.04910585,0.46160562,-0.00539121,4500.30938921,235.39794762,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.06314364,0.00000060,0,0.04554798,0.04946387,1.00000000,1.00000000,4500.27486850,0.03452071,0.04501860,0.01812504,235.38771703,0.01023059,24.00000000
pullin_24db_fm62p5_cp0p3,7.00000000,350,Strong,0,1,1,NWPR,200,23.53005091,1,23.76552668,1,23.70083241,0.81452626,1,1,-0.18385166,-0.03289559,0.37650029,0.00024543,4500.30333642,241.30684121,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.03085859,0.00000055,0,0.03336408,0.02677226,1.00000000,1.00000000,4500.31967397,-0.01633756,0.04458108,-0.01372249,241.28587864,0.02096257,24.00000000
pullin_24db_fm62p5_cp0p3,8.00000000,400,Strong,0,1,1,NWPR,200,23.60628391,1,24.55419129,1,23.60610506,0.81687563,1,1,-7.90019872,-0.05838391,0.35524045,-0.01589968,4500.34766610,247.20249103,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.03525699,0.00000051,0,0.03016606,0.02012142,1.00000000,1.00000000,4500.36400832,-0.01634222,0.04407656,-0.00881957,247.18409867,0.01839236,24.00000000
pullin_24db_fm62p5_cp0p3,9.00000000,450,Strong,0,1,1,NWPR,200,23.64228893,1,23.34458522,1,23.50845734,0.82468804,1,1,3.40356660,0.00673286,0.34744071,-0.02161032,4500.37651612,253.09497992,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.03374497,0.00000047,0,0.02917804,0.01697693,1.00000000,1.00000000,4500.40780525,-0.03128913,0.04350650,-0.00976153,253.08237646,0.01260346,24.00000000
pullin_24db_fm62p5_cp0p3,10.00000000,500,Strong,0,1,1,NWPR,200,23.63538176,1,22.01954334,1,23.45057170,0.80005226,1,1,-2.43486966,0.01804564,0.35042830,-0.03687880,4500.48882963,258.98676736,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.04887472,0.00000043,0,0.02869797,0.01498447,1.00000000,1.00000000,4500.45100000,0.03782963,0.04287249,0.00600222,258.98071127,0.00605610,24.00000000
pullin_24db_fm62p5_cp0p3,11.00000000,550,LongFast,0,1,1,NWPR,200,23.62552631,1,25.44387520,1,23.77399719,0.79622857,1,1,0.07523086,0.07523086,0.00000000,0.01219606,4500.49007352,264.88727511,20.00000000,8.00000000,160.00000000,160.00000000,160.00000000,160.00000000,0,1,0.04116354,0.00000041,0,0.03488333,0.01395466,0.85220278,1.00000000,4500.49352952,-0.00345600,0.04217634,-0.00101280,264.87910225,0.00817286,24.00000000
pullin_24db_fm62p5_cp0p3,12.00000000,600,LongFast,0,1,1,NWPR,200,23.70608322,1,22.57305992,1,23.31311019,0.84485823,1,1,1.48331126,0.44290321,0.25820410,-0.01513081,4500.53178320,270.73389305,20.00000000,8.00000000,160.00000000,160.00000000,160.00000000,160.00000000,0,1,0.04123732,0.00000037,1,0.05296208,0.01396728,0.31604018,1.00000000,4500.53533263,-0.00354943,0.04142002,-0.00018270,270.77754851,-0.04365546,24.00000000
