scenario,time_s,frame_id,state,state_pending,frame_valid,cn0_valid,cn0_method,cn0_window_blocks,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,fll_locked,dll_locked,fll_latest_hz,fll_mean_hz,fll_se_hz,dll_mean_chips,doppler_hz,tracked_code_phase_chips,coherent_ms,noncoherent_blocks,carrier_obs_ms,carrier_update_ms,dll_obs_ms,dll_update_ms,use_phase,use_frequency,carrier_rate_hz_s,kf_rate_noise_hz2_s3,kf_health_valid,kf_freq_sigma_hz,kf_rate_sigma_hz_s,kf_freq_nis,kf_freq_accept_ratio,truth_doppler_hz,doppler_error_hz,truth_doppler_rate_hz_s,rate_error_hz_s,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
pullin_22db_fm62p5_cp0p30,0.02000000,1,PullIn,0,1,0,M2M4,1000,0.00000000,0,0.00000000,0.28177594,0,1,0.00000000,0.00000000,0.00000000,0.04212960,4562.50000000,200.35925325,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,0.00000000,0.00000100,0,100.00000060,0.50000002,1.00000000,1.00000000,4500.00092360,62.49907640,0.04618032,-0.04618032,200.05844156,0.30081168,22.00000000
pullin_22db_fm62p5_cp0p30,1.00000000,50,PullIn,0,1,0,M2M4,1000,0.00000000,0,0.00000000,0.08210001,0,1,-11.36363636,1.14204532,2.82667279,-0.00982579,4499.91126722,203.12803080,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,0.03456667,0.00000092,1,2.48912726,0.49929241,0.99082978,1.00000000,4500.04617798,-0.13491076,0.04616406,-0.01159739,202.92209292,0.20593788,22.00000000
pullin_22db_fm62p5_cp0p30,2.00000000,100,PullIn,0,1,1,M2M4,1000,19.70033211,0,0.00000000,0.07665150,1,1,-5.55726162,-0.02806776,1.76000431,-0.00890186,4499.69807941,205.78795336,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,0.00101916,0.00000084,1,1.83449686,0.49549831,0.69567560,1.00000000,4500.09230423,-0.39422482,0.04607652,-0.04505736,205.84421580,-0.05626244,22.00000000
pullin_22db_fm62p5_cp0p30,3.00000000,150,Lock,0,1,0,NWPR,500,0.00000000,1,19.35700333,0.64512451,1,1,-9.30043284,-0.13811228,0.82576851,0.08947718,4500.64257517,208.65818884,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.02224128,0.00000077,1,0.55052565,0.45484138,1.73534619,1.00000000,4500.13830723,0.50426794,0.04591762,-0.06815890,208.76636861,-0.10817977,22.00000000
pullin_22db_fm62p5_cp0p30,4.00000000,200,Lock,0,1,0,NWPR,200,0.00000000,1,21.56455096,0.17029218,1,1,-6.83544628,-0.26270005,0.56420005,0.07937556,4500.10253138,211.73525454,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.23005343,0.00000071,1,0.49549606,0.36654029,2.30816454,1.00000000,4500.18411585,-0.08158447,0.04568784,-0.27574128,211.68855123,0.04670331,22.00000000
pullin_22db_fm62p5_cp0p30,5.00000000,250,Lock,0,1,0,NWPR,200,0.00000000,1,21.37909977,0.17902797,1,1,11.93635134,-0.33247796,0.46721478,0.03086955,4499.62282926,214.60481506,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.27359221,0.00000065,1,0.47536967,0.26386088,2.43970280,1.00000000,4500.22965952,-0.60683026,0.04538788,-0.31898009,214.61076351,-0.00594844,22.00000000
pullin_22db_fm62p5_cp0p30,6.00000000,300,Lock,0,1,0,NWPR,200,0.00000000,1,19.54459463,0.32645003,1,1,9.70077054,0.12556835,0.45773833,0.01042951,4500.11573900,217.62995479,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.03088235,0.00000060,1,0.44071507,0.18948839,2.37404237,1.00000000,4500.27486850,-0.15912949,0.04501860,-0.07590095,217.53300526,0.09694953,22.00000000
pullin_22db_fm62p5_cp0p30,7.00000000,350,Lock,0,1,1,NWPR,200,20.88349129,1,23.15164210,0.10397043,1,1,8.55036799,0.44031329,0.45774061,-0.02215204,4500.08084081,220.40040282,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.03191440,0.00000055,1,0.49551283,0.16219544,1.58605882,1.00000000,4500.31967397,-0.23883317,0.04458108,-0.07649548,220.45527624,-0.05487342,22.00000000
pullin_22db_fm62p5_cp0p30,8.00000000,400,LongFast,0,1,1,NWPR,200,20.94232678,1,20.80663902,0.14744385,1,1,1.74890730,0.36076325,1.34241674,0.10859003,4499.96144351,223.42241065,20.00000000,8.00000000,160.00000000,160.00000000,160.00000000,160.00000000,0,1,-0.05149956,0.00000051,0,0.60906645,0.15485910,0.56465075,1.00000000,4500.36400832,-0.40256481,0.04407656,-0.09557613,223.37757616,0.04483449,22.00000000
pullin_22db_fm62p5_cp0p30,9.00000000,450,LongFast,0,1,1,NWPR,200,20.88236510,1,19.91920677,0.17257793,1,1,-2.68063349,-0.04725353,0.80335400,0.02182057,4499.87279247,226.36103760,20.00000000,8.00000000,160.00000000,160.00000000,160.00000000,160.00000000,0,1,-0.05872977,0.00000047,1,0.73456091,0.15105000,0.33959784,1.00000000,4500.40780525,-0.53501278,0.04350650,-0.10223627,226.29990470,0.06113290,22.00000000
pullin_22db_fm62p5_cp0p30,10.00000000,500,LongFast,0,1,1,NWPR,200,20.86688932,1,21.74476270,0.02076951,1,1,2.95108548,0.23758601,0.55960974,0.01076872,4499.89445203,229.22963633,20.00000000,8.00000000,160.00000000,160.00000000,160.00000000,160.00000000,0,1,-0.04548339,0.00000044,1,0.83776613,0.14441763,0.20135040,1.00000000,4500.45100000,-0.55654797,0.04287249,-0.08835588,229.22226149,0.00737483,22.00000000
pullin_22db_fm62p5_cp0p30,11.00000000,550,LongFast,0,1,1,NWPR,200,21.02577719,1,19.82383736,0.27203681,1,1,-3.38450123,0.41128925,0.46004741,0.01585077,4499.97600526,232.09508781,20.00000000,8.00000000,160.00000000,160.00000000,160.00000000,160.00000000,0,1,-0.02745180,0.00000040,1,0.90721296,0.13467171,0.17286853,1.00000000,4500.49352952,-0.51752426,0.04217634,-0.06962815,232.14464612,-0.04955831,22.00000000
pullin_22db_fm62p5_cp0p30,12.00000000,600,LongFast,0,1,1,NWPR,200,21.15225004,1,20.34556366,0.13808203,1,1,-0.53239634,0.16337442,0.41384690,0.01022560,4499.82461757,235.10908790,20.00000000,8.00000000,160.00000000,160.00000000,160.00000000,160.00000000,0,1,-0.04301471,0.00000037,1,0.95133051,0.12404120,0.14950144,1.00000000,4500.53533263,-0.71071506,0.04142002,-0.08443472,235.06705813,0.04202977,22.00000000
