seed,scenario,status,pullin_time_s,doppler_rms_hz,doppler_p95_hz,code_phase_p95_chips,carrier_valid_ratio,cn0_bias_db,cn0_rmse_db
20260716,pullin_28db_fp31p25_cp0p3,PASS,1.88,0.028592022929398064,0.05555929,0.02098743,1.0,-0.493089343114754,0.5351856356602726
20260717,pullin_28db_fp31p25_cp0p3,PASS,1.96,0.02625612036608161,0.04877256,0.01542361,1.0,-0.5251562329508197,0.5533985966574336
20260718,pullin_28db_fp31p25_cp0p3,PASS,1.92,0.02676618269694362,0.04916166,0.01976951,1.0,-0.5188082322950818,0.5361332347661597
20260719,pullin_28db_fp31p25_cp0p3,PASS,2.2,0.03418894409404512,0.06454342,0.01594066,1.0,-0.46467231754098365,0.5049294793638265
20260720,pullin_28db_fp31p25_cp0p3,PASS,1.84,0.025788746574705892,0.05089977,0.02030229,1.0,-0.485402804590164,0.5070305385578381
