"scenario","seed","status","duration_s","pullin_time_s","doppler_rms_hz","doppler_p95_hz","rate_p95_hz_s","code_phase_p95_chips","cn0_bias_db","cn0_rmse_db","cn0_valid_ratio","fallback_to_pullin_count","transition_divergence_count"
"pullin_22db_fm62p5_cp0p3","20260716","PASS","120.0","3.46","0.06663455097598851","0.12501268","0.02242858","0.02978514","-0.3653413165853657","0.4279368412380815","1.0","0","0"
"pullin_22db_fp0_cp0p3","20260716","PASS","120.0","3.12","0.08602717070302492","0.16367902","0.02343749","0.02890086","-0.3654146487804878","0.42839491260722806","1.0","0","0"
"pullin_22db_fp62p5_cm0p3","20260716","PASS","120.0","6.18","0.07673235745208065","0.1382355","0.01820089","0.03015822","-0.36611886609756095","0.4287512756427292","1.0","0","0"
"pullin_22db_fp62p5_cp0","20260716","PASS","120.0","4.28","0.07360325580259192","0.10795099","0.01648851","0.02976095","-0.3654927051219512","0.4267296923817378","1.0","0","0"
"pullin_22db_fp62p5_cp0p3","20260716","PASS","120.0","2.78","0.0908023039561069","0.18966924","0.02130118","0.02973103","-0.36370943756097546","0.4262221337063253","1.0","0","0"
"pullin_30db_fp62p5_cp0p3","20260716","PASS","120.0","1.5","0.04190307156155922","0.07474595","0.01246287","0.01163457","-0.4332040236585365","0.4441487793242579","1.0","0","0"
"pullin_40db_fp62p5_cp0p3","20260716","PASS","120.0","1.48","0.009862308588607288","0.01690017","0.0086466","0.00329048","-0.4694225280487805","0.4795215502647288","1.0","0","0"
