scenario,time_s,frame_id,state,state_pending,frame_valid,cn0_valid,cn0_method,cn0_window_blocks,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,fll_locked,dll_locked,fll_latest_hz,fll_mean_hz,fll_se_hz,dll_mean_chips,doppler_hz,tracked_code_phase_chips,coherent_ms,noncoherent_blocks,carrier_obs_ms,carrier_update_ms,dll_obs_ms,dll_update_ms,use_phase,use_frequency,carrier_rate_hz_s,kf_rate_noise_hz2_s3,kf_health_valid,kf_freq_sigma_hz,kf_rate_sigma_hz_s,kf_freq_nis,kf_freq_accept_ratio,truth_doppler_hz,doppler_error_hz,truth_doppler_rate_hz_s,rate_error_hz_s,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
pullin_22db_fm62p5_cp0p30,0.02000000,1,PullIn,0,1,0,M2M4,1000,0.00000000,0,0.00000000,0.25373241,0,1,0.00000000,0.00000000,0.00000000,0.06782332,4562.50000000,200.35925325,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,0.00000000,0.00000100,0,100.00000060,0.50000002,1.00000000,1.00000000,4500.00092360,62.49907640,0.04618032,-0.04618032,200.05844156,0.30081168,22.00000000
pullin_22db_fm62p5_cp0p30,1.00000000,50,PullIn,0,1,0,M2M4,1000,0.00000000,0,0.00000000,0.11690346,0,1,-8.81337377,-19.62119011,3.54181985,-0.02139785,4499.67889556,202.97696203,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.13801218,0.00000092,1,2.41177870,0.49917620,2.01163817,1.00000000,4500.04617798,-0.36728242,0.04616406,-0.18417624,202.92209292,0.05486912,22.00000000
pullin_22db_fm62p5_cp0p30,2.00000000,100,PullIn,0,1,0,M2M4,1000,20.46036080,0,0.00000000,0.07997432,0,1,-5.57484006,-9.91818979,2.25213706,-0.00236518,4499.75827330,205.74689750,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.13815403,0.00000084,1,2.16774369,0.49745616,0.84345724,1.00000000,4500.09230423,-0.33403093,0.04607652,-0.18423055,205.84421580,-0.09731831,22.00000000
pullin_22db_fm62p5_cp0p30,3.00000000,150,PullIn,0,1,1,M2M4,1000,20.53893912,0,0.00000000,0.04537640,0,1,-31.08594342,-5.56456771,1.87846409,0.00576762,4499.30732337,208.73252042,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.16853734,0.00000077,1,2.19075272,0.49188972,0.46840767,1.00000000,4500.13830723,-0.83098386,0.04591762,-0.21445496,208.76636861,-0.03384819,22.00000000
pullin_22db_fm62p5_cp0p30,4.00000000,200,PullIn,0,1,1,M2M4,1000,23.47575006,0,0.00000000,0.03144997,1,1,-8.52961496,-1.74299507,1.56917753,0.01096615,4499.25203442,211.80382858,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.16570144,0.00000071,1,2.05037396,0.46726455,0.25822243,1.00000000,4500.18411585,-0.93208143,0.04568784,-0.21138929,211.68855123,0.11527735,22.00000000
pullin_22db_fm62p5_cp0p30,5.00000000,250,PullIn,0,1,0,M2M4,1000,22.69940703,0,0.00000000,0.05148667,1,1,7.21345336,-0.64094516,1.39415632,0.00176375,4498.87375404,214.75208012,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.19813462,0.00000065,1,1.99712639,0.44133202,0.23010532,1.00000000,4500.22965952,-1.35590548,0.04538788,-0.24352250,214.61076351,0.14131661,22.00000000
pullin_22db_fm62p5_cp0p30,6.00000000,300,Lock,0,1,0,NWPR,500,0.00000000,1,19.70147968,0.08272364,0,1,-2.18395324,0.56390959,1.00808895,-0.02095574,4500.31085095,217.63974964,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,0,1,0.05430512,0.00000060,1,0.61472467,0.40343319,1.68864464,1.00000000,4500.27486850,0.03598246,0.04501860,0.00928652,217.53300526,0.10674438,22.00000000
pullin_22db_fm62p5_cp0p30,7.00000000,350,Lock,0,1,0,NWPR,200,0.00000000,1,21.29735598,0.11349154,1,1,-8.88172714,0.12501184,0.58375719,-0.02859789,4499.91502720,220.41860030,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,0,1,0.00334840,0.00000055,1,0.48212632,0.33789498,2.04635139,1.00000000,4500.31967397,-0.40464677,0.04458108,-0.04123268,220.45527624,-0.03667594,22.00000000
pullin_22db_fm62p5_cp0p30,8.00000000,400,Lock,0,1,0,NWPR,200,0.00000000,1,21.13235981,0.45445920,1,1,-0.60790455,0.28093397,0.47394437,0.00449020,4500.57514622,223.37424928,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,0,1,0.20780972,0.00000051,1,0.46120563,0.25697004,2.28216259,1.00000000,4500.36400832,0.21113789,0.04407656,0.16373315,223.37757616,-0.00332688,22.00000000
pullin_22db_fm62p5_cp0p30,9.00000000,450,Lock,0,1,0,NWPR,200,0.00000000,1,21.62967588,0.30336128,1,1,8.25344476,0.11923394,0.46328675,0.00615714,4500.61302055,226.28064310,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,0,1,0.15362516,0.00000047,1,0.43435616,0.19023758,2.42491110,1.00000000,4500.40780525,0.20521530,0.04350650,0.11011867,226.29990470,-0.01926160,22.00000000
