case_id,passed,wall_time_s,sync_time_s,final_state,state_commit_count,tail_doppler_rms_hz,tail_doppler_p95_hz,tail_code_mae_chips,tail_code_p95_chips,cn0_error_mean_db,cn0_error_p95_abs_db
steady_strong_40,True,10.113987900000211,1.22,Track,3,0.04089340887862544,0.07065134,0.0016114551612903224,0.00355245,-0.5264065782222223,1.0155376800000013
step_deep_fade,True,24.319919200000186,1.22,Track,5,0.03857625906949215,0.08080513,0.0012054448780487806,0.00295256,-0.2677241891363636,8.44242921
slow_deep_fade,True,52.04824649999955,1.22,Track,5,0.006141294735071909,0.01176281,0.0015945953658536584,0.00336479,-0.7343302348125,2.6714320199999992
short_shadow_5s,True,16.417065399999956,1.22,Track,3,0.03197687330494018,0.05089585,0.0024835988235294114,0.00686759,0.03995557093333325,2.433991489999997
threshold_ramp,True,52.03112390000024,1.22,Track,5,0.03332085461958735,0.05951703,0.00192479756097561,0.00404394,-0.6751016612291666,1.4642227999999982
repeated_slow_fades,True,49.864360300000044,1.22,Track,7,0.027798491053691317,0.05257082,0.0026595887804878047,0.00550335,-0.8443315242666667,4.170461100000001
slow_fade_drift_0p1,True,38.98764670000037,1.22,Track,5,0.03145549325967595,0.04102217,0.0013776685714285714,0.00279326,-0.7692504129444445,2.6420279100000013
