scenario,time_s,frame_id,state,state_pending,frame_valid,cn0_valid,cn0_method,cn0_window_blocks,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,cn0_control_valid,cn0_control_db_hz,pli,fll_locked,dll_locked,fll_latest_hz,fll_mean_hz,fll_se_hz,dll_mean_chips,doppler_hz,tracked_code_phase_chips,coherent_ms,noncoherent_blocks,carrier_obs_ms,carrier_update_ms,dll_obs_ms,dll_update_ms,use_phase,use_frequency,carrier_rate_hz_s,kf_rate_noise_hz2_s3,kf_health_valid,kf_freq_sigma_hz,kf_rate_sigma_hz_s,kf_freq_nis,kf_freq_accept_ratio,truth_doppler_hz,doppler_error_hz,truth_doppler_rate_hz_s,rate_error_hz_s,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
pullin_24db_fm62p5_cp0p3,0.02000000,1,PullIn,0,1,0,M2M4,1000,0.00000000,0,0.00000000,0,0.00000000,0.17803807,0,1,0.00000000,0.00000000,0.00000000,0.05365344,4562.50000000,200.41959371,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,0.00000000,0.00000100,0,100.00000060,0.50000002,1.00000000,1.00000000,4500.00092360,62.49907640,0.04618032,-0.04618032,200.11795545,0.30163826,24.00000000
pullin_24db_fm62p5_cp0p3,1.00000000,50,PullIn,0,1,1,M2M4,1000,20.82787912,0,0.00000000,0,0.00000000,0.06193739,0,1,-11.36363636,-6.70740971,1.79681319,-0.01902294,4504.37185530,205.97657154,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.05062074,0.00000092,1,2.45877615,0.49936591,0.60038287,1.00000000,4500.04617798,4.32567733,0.04616406,-0.09678480,205.89780222,0.07876932,24.00000000
pullin_24db_fm62p5_cp0p3,2.00000000,100,PullIn,0,1,1,M2M4,1000,21.38410040,0,0.00000000,0,0.00000000,0.05610845,1,1,2.32738072,-4.30717014,1.09149864,-0.00277209,4503.87896850,211.76241268,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.06150232,0.00000084,1,2.30041702,0.49750261,0.24495905,1.00000000,4500.09230423,3.78666426,0.04607652,-0.10757884,211.79566493,-0.03325225,24.00000000
pullin_24db_fm62p5_cp0p3,3.00000000,150,PullIn,0,1,1,M2M4,1000,22.08542781,0,0.00000000,0,0.00000000,0.04160431,1,1,-4.13085693,-3.75704675,0.60581678,0.00326217,4502.49268707,217.62338135,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.15989818,0.00000077,1,2.12138019,0.48759465,0.12388701,1.00000000,4500.13830723,2.35437983,0.04591762,-0.20581580,217.69358802,-0.07020667,24.00000000
pullin_24db_fm62p5_cp0p3,4.00000000,200,PullIn,0,1,0,M2M4,1000,21.95651236,0,0.00000000,0,0.00000000,0.00912412,1,1,-2.81713650,-0.84333455,1.17041508,0.00721038,4502.68135361,223.59465885,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.11917172,0.00000071,1,1.98305682,0.46797720,0.36343255,1.00000000,4500.18411585,2.49723776,0.04568784,-0.16485956,223.59157128,0.00308756,24.00000000
pullin_24db_fm62p5_cp0p3,5.00000000,250,Lock,0,1,0,NWPR,1500,0.00000000,1,24.52840051,0,0.00000000,0.18049485,1,1,0.03607623,-0.39361763,0.53147698,-0.03462970,4500.22479930,229.56713643,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.41236073,0.00000065,1,0.57091112,0.40875544,0.94118080,1.00000000,4500.22965952,-0.00486022,0.04538788,-0.45774861,229.48961442,0.07752201,24.00000000
pullin_24db_fm62p5_cp0p3,6.00000000,300,Strong,0,1,0,NWPR,200,0.00000000,1,24.08330110,1,23.73235177,0.24198081,1,1,4.32776294,1.26493372,0.73555380,-0.03901157,4500.12073696,235.40272192,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,-0.26015928,0.00000060,0,0.08149829,0.12547935,1.00000000,1.00000000,4500.27486850,-0.15413154,0.04501860,-0.30517789,235.38771703,0.01500489,24.00000000
pullin_24db_fm62p5_cp0p3,7.00000000,350,Strong,0,1,0,NWPR,200,0.00000000,1,23.40147047,1,23.75253012,0.41329755,1,1,4.29324027,0.48927419,0.45887386,-0.04853748,4500.31181005,241.28807207,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.01421687,0.00000055,0,0.05008768,0.06173701,1.00000000,1.00000000,4500.31967397,-0.00786392,0.04458108,-0.03036421,241.28587864,0.00219343,24.00000000
pullin_24db_fm62p5_cp0p3,8.00000000,400,Strong,0,1,0,NWPR,200,0.00000000,1,23.26068134,1,23.56675961,0.63623524,1,1,0.90154760,0.24273218,0.36963292,-0.03807154,4500.31502134,247.18419579,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.00794783,0.00000051,0,0.03479503,0.02976073,1.00000000,1.00000000,4500.36400832,-0.04898698,0.04407656,-0.03612873,247.18409867,0.00009712,24.00000000
pullin_24db_fm62p5_cp0p3,9.00000000,450,Strong,0,1,1,NWPR,200,23.68244917,1,24.29908758,1,23.78318747,0.73424134,1,1,-0.45463080,-0.18647198,0.38118384,-0.01820604,4500.42483623,253.08525833,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.04377242,0.00000047,0,0.03049146,0.02123268,1.00000000,1.00000000,4500.40780525,0.01703098,0.04350650,0.00026592,253.08237646,0.00288187,24.00000000
