scenario,time_s,frame_id,state,state_pending,frame_valid,cn0_valid,cn0_method,cn0_window_blocks,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,cn0_control_valid,cn0_control_db_hz,pli,fll_locked,dll_locked,fll_latest_hz,fll_mean_hz,fll_se_hz,dll_mean_chips,doppler_hz,tracked_code_phase_chips,coherent_ms,noncoherent_blocks,carrier_obs_ms,carrier_update_ms,dll_obs_ms,dll_update_ms,use_phase,use_frequency,carrier_rate_hz_s,kf_rate_noise_hz2_s3,kf_health_valid,kf_freq_sigma_hz,kf_rate_sigma_hz_s,kf_freq_nis,kf_freq_accept_ratio,truth_doppler_hz,doppler_error_hz,truth_doppler_rate_hz_s,rate_error_hz_s,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
pullin_24db_fm62p5_cp0p3,10.00000000,500,Strong,0,1,1,NWPR,200,23.16896276,1,24.62712517,1,23.32235713,0.79374807,1,1,6.42087457,0.02783203,0.40880613,0.03709684,4500.43696711,258.92034111,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.03630578,0.00000043,0,0.03033160,0.01908775,1.00000000,1.00000000,4500.45100000,-0.01403289,0.04287249,-0.00656671,258.98071127,-0.06037015,24.00000000
pullin_24db_fm62p5_cp0p3,11.00000000,550,Strong,0,1,1,NWPR,200,23.24453226,1,23.26164699,1,23.31793124,0.84329955,1,1,-1.58889522,0.01053475,0.37027577,0.03986321,4500.50283238,264.82249676,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.04290748,0.00000040,0,0.02933614,0.01634004,1.00000000,1.00000000,4500.49352952,0.00930287,0.04217634,0.00073114,264.87910225,-0.05660550,24.00000000
pullin_24db_fm62p5_cp0p3,12.00000000,600,Strong,0,1,1,NWPR,200,23.26392580,1,22.28235002,1,22.45041943,0.83880005,1,1,-1.58382995,-0.03000710,0.35910497,0.04604683,4500.53780355,270.71898845,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.04145367,0.00000037,0,0.02940143,0.01457278,1.00000000,1.00000000,4500.53533263,0.00247092,0.04142002,0.00003366,270.77754851,-0.05856006,24.00000000
pullin_24db_fm62p5_cp0p3,13.00000000,650,Strong,0,1,1,NWPR,200,23.16313513,1,22.12764851,1,22.34044674,0.82665346,1,1,-3.92789065,-0.05043870,0.34334879,0.04428203,4500.57095661,276.61251173,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.04016622,0.00000035,0,0.02939972,0.01326865,1.00000000,1.00000000,4500.57635020,-0.00539359,0.04060563,-0.00043942,276.67604905,-0.06353732,24.00000000
pullin_24db_fm62p5_cp0p3,14.00000000,700,LongFast,0,1,1,NWPR,200,22.96411750,1,24.10367913,1,22.89350843,0.84999339,1,1,0.02333903,-0.62161383,0.31039737,0.03858700,4500.60973550,282.57401304,20.00000000,8.00000000,160.00000000,160.00000000,160.00000000,160.00000000,0,1,0.03998144,0.00000033,0,0.04393674,0.01302222,0.54181912,1.00000000,4500.61652530,-0.00678980,0.03973549,0.00024595,282.57460280,-0.00058976,24.00000000
pullin_24db_fm62p5_cp0p3,15.00000000,750,LongFast,0,1,1,NWPR,200,22.89000378,1,23.95570593,1,22.82704416,0.83015556,1,1,-0.87859576,-0.28944091,0.26914896,0.00223984,4500.64962275,288.44816792,20.00000000,8.00000000,160.00000000,160.00000000,160.00000000,160.00000000,0,1,0.03997064,0.00000030,1,0.06013353,0.01303267,0.20492332,1.00000000,4500.65580339,-0.00618064,0.03881201,0.00115862,288.47320862,-0.02504069,24.00000000
pullin_24db_fm62p5_cp0p3,16.00000000,800,LongFast,0,1,1,NWPR,200,22.89918774,1,22.89305622,1,22.62593007,0.79819160,1,1,0.89954945,-0.20773591,0.21935724,0.00791149,4500.68963306,294.36095616,20.00000000,8.00000000,160.00000000,160.00000000,160.00000000,160.00000000,0,1,0.03997493,0.00000028,1,0.07508227,0.01304125,0.11137558,1.00000000,4500.69413241,-0.00449935,0.03783780,0.00213714,294.37186530,-0.01090914,24.00000000
pullin_24db_fm62p5_cp0p3,17.00000000,850,LongLock,0,1,1,NWPR,200,23.00887447,1,23.50469816,1,23.10753770,0.81333038,1,1,-1.05182173,-0.86308005,0.23129330,-0.04786960,4500.72884594,300.27599176,20.00000000,8.00000000,160.00000000,160.00000000,160.00000000,160.00000000,0,1,0.03990260,0.00000027,0,0.08937526,0.01304627,0.63660630,1.00000000,4500.73146298,-0.00261704,0.03681557,0.00308703,300.27057157,0.00542020,24.00000000
pullin_24db_fm62p5_cp0p3,18.00000000,900,LongLock,0,1,1,NWPR,200,23.22384080,1,20.73681710,1,23.23393099,0.80321660,1,1,0.55320919,0.07629235,0.30971136,-0.02922494,4500.77048840,306.15228887,20.00000000,8.00000000,160.00000000,160.00000000,160.00000000,160.00000000,0,1,0.04005359,0.00000025,1,0.10324892,0.01304701,0.26436734,1.00000000,4500.76774850,0.00273991,0.03574818,0.00430541,306.16932608,-0.01703721,24.00000000
pullin_24db_fm62p5_cp0p3,19.00000000,950,LongLock,0,1,1,NWPR,200,23.19498265,1,24.70093340,1,23.26168009,0.85176999,1,1,-0.33225814,-0.10436373,0.24085613,-0.00732415,4500.80907372,312.08407588,20.00000000,8.00000000,160.00000000,160.00000000,160.00000000,160.00000000,0,1,0.03993616,0.00000024,1,0.11679237,0.01304180,0.11615230,1.00000000,4500.80294528,0.00612844,0.03463862,0.00529755,312.06812744,0.01594844,24.00000000
pullin_24db_fm62p5_cp0p3,20.00000000,1000,Medium,0,1,1,NWPR,200,23.23337374,1,23.14396532,1,22.96733472,0.96318211,1,1,0.10623162,0.10623162,0.00000000,-0.02629435,4500.85723363,317.96469027,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.04055029,0.00000022,0,0.12423860,0.01270968,0.74262548,1.00000000,4500.83701270,0.02022093,0.03348997,0.00706032,317.96697420,-0.00228393,24.00000000
pullin_24db_fm62p5_cp0p3,21.00000000,1050,Medium,0,1,1,NWPR,200,23.30601441,1,22.36793871,1,23.34399763,0.85725427,1,1,-0.01434017,-0.00636179,0.04573224,-0.01114504,4500.88450789,323.85779717,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03962820,0.00000021,0,0.12091739,0.01187717,0.29667575,1.00000000,4500.86991326,0.01459463,0.03230544,0.00732276,323.86586484,-0.00806767,24.00000000
pullin_24db_fm62p5_cp0p3,22.00000000,1100,Medium,0,1,1,NWPR,200,23.19170670,1,22.81089519,1,22.84553545,0.83420576,1,1,0.05522713,0.02802758,0.04843683,0.01211018,4500.94532408,329.77126290,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.04100513,0.00000020,0,0.11605970,0.01108934,0.18935625,1.00000000,4500.90161273,0.04371135,0.03108834,0.00991679,329.76479783,0.00646507,24.00000000
pullin_24db_fm62p5_cp0p3,23.00000000,1150,Medium,0,1,1,NWPR,200,23.16882500,1,21.82525864,1,23.07888362,0.79436243,1,1,0.22592737,0.04847230,0.03880188,0.00806844,4501.00899889,335.67482379,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.04239031,0.00000019,1,0.11463861,0.01054507,0.15798369,1.00000000,4500.93208021,0.07691868,0.02984205,0.01254826,335.66377155,0.01105225,24.00000000
pullin_24db_fm62p5_cp0p3,24.00000000,1200,Medium,0,1,1,NWPR,200,23.22174513,1,25.67823855,1,23.48898001,0.71211084,1,1,-0.03980860,-0.01107544,0.05133403,0.00760813,4500.99178316,341.57529861,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03895619,0.00000018,1,0.11188088,0.01001351,0.32299024,1.00000000,4500.96128826,0.03049490,0.02857005,0.01038615,341.56278438,0.01251423,24.00000000
pullin_24db_fm62p5_cp0p3,25.00000000,1250,Medium,0,1,1,NWPR,200,23.35300510,1,23.41250058,1,23.14716991,0.74941803,1,1,0.00000000,-0.02187312,0.04224998,-0.00339484,4501.01304196,347.46370806,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03799090,0.00000018,1,0.11005371,0.00957399,0.15297719,1.00000000,4500.98921291,0.02382905,0.02727587,0.01071503,347.46183465,0.00187341,24.00000000
pullin_24db_fm62p5_cp0p3,26.00000000,1300,Medium,0,1,1,NWPR,200,23.44703967,1,23.35847328,1,23.34501450,0.77481659,1,1,-0.29420252,-0.04156854,0.04023464,-0.00399186,4501.01893865,353.36019722,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03632854,0.00000017,1,0.10909443,0.00920782,0.24647037,1.00000000,4501.01583380,0.00310485,0.02596312,0.01036542,353.36092067,-0.00072345,24.00000000
pullin_24db_fm62p5_cp0p3,27.00000000,1350,Medium,0,1,1,NWPR,200,23.58755140,1,23.25413435,1,23.63356735,0.77662301,1,1,0.09659535,-0.02712381,0.03396376,-0.00262188,4501.06515090,359.26106852,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03681622,0.00000016,1,0.10598021,0.00881307,0.08575601,1.00000000,4501.04113417,0.02401673,0.02463544,0.01218078,359.26004072,0.00102781,24.00000000
pullin_24db_fm62p5_cp0p3,28.00000000,1400,Medium,0,1,1,NWPR,200,23.55383240,1,24.14286095,1,23.06057131,0.80854836,1,1,0.23372428,-0.02566697,0.03862293,-0.00388512,4501.08717791,365.15746769,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03612150,0.00000016,1,0.10293977,0.00845976,0.50340727,1.00000000,4501.06510095,0.02207697,0.02329655,0.01282495,365.15919305,-0.00172536,24.00000000
pullin_24db_fm62p5_cp0p3,29.00000000,1450,Medium,0,1,1,NWPR,200,23.51490738,1,23.54201237,1,23.62744250,0.77518430,1,1,-0.17268202,-0.21629245,0.18954015,-0.00255471,4501.11003781,371.06002468,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03552391,0.00000015,1,0.10610154,0.00829808,20.13060029,0.80114339,4501.08772477,0.02231305,0.02195015,0.01357376,371.05837591,0.00164877,24.00000000
pullin_24db_fm62p5_cp0p3,30.00000000,1500,Medium,0,1,1,NWPR,200,23.60711260,1,22.76001297,1,23.64588228,0.81588554,1,1,0.00000000,-0.20513191,0.17164375,-0.00145062,4501.12423390,376.95968784,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03460363,0.00000015,1,0.10442642,0.00802886,7.75169159,0.92385922,4501.10900000,0.01523390,0.02060000,0.01400363,376.95758754,0.00210030,24.00000000
pullin_24db_fm62p5_cp0p3,31.00000000,1550,Medium,0,1,1,NWPR,200,23.66667647,1,24.60994935,1,23.76617771,0.81662912,1,1,0.08308476,-0.17860103,0.15745301,0.00002551,4501.18097941,382.86451327,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03552116,0.00000014,1,0.10289058,0.00778511,3.01509204,0.97084624,4501.12892477,0.05205465,0.01924985,0.01627131,382.85682617,0.00768709,24.00000000
