scenario,time_s,frame_id,state,state_pending,frame_valid,cn0_valid,cn0_method,cn0_window_blocks,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,cn0_control_valid,cn0_control_db_hz,pli,fll_locked,dll_locked,fll_latest_hz,fll_mean_hz,fll_se_hz,dll_mean_chips,doppler_hz,tracked_code_phase_chips,coherent_ms,noncoherent_blocks,carrier_obs_ms,carrier_update_ms,dll_obs_ms,dll_update_ms,use_phase,use_frequency,carrier_rate_hz_s,kf_rate_noise_hz2_s3,kf_health_valid,kf_freq_sigma_hz,kf_rate_sigma_hz_s,kf_freq_nis,kf_freq_accept_ratio,truth_doppler_hz,doppler_error_hz,truth_doppler_rate_hz_s,rate_error_hz_s,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
pullin_28db_fp31p25_cp0p3,10.00000000,500,Strong,0,1,1,NWPR,200,27.36271420,1,27.73046095,1,27.28546108,0.87084975,1,1,0.75511935,-0.01915564,0.30962261,-0.02711812,4500.45916163,591.39464708,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.04429896,0.00003715,0,0.02825729,0.01635620,1.00000000,1.00000000,4500.45100000,0.00816163,0.04287249,0.00142647,591.32419736,0.07044972,28.00000000
pullin_28db_fp31p25_cp0p3,11.00000000,550,LongFast,0,1,1,NWPR,200,27.20406707,1,24.87471021,1,26.29386494,0.85329467,0,0,1.58065372,0.00000000,0.00000000,0.00000000,4500.49205024,630.52463153,20.00000000,8.00000000,160.00000000,160.00000000,160.00000000,160.00000000,1,1,0.04243979,0.00003403,0,0.03135008,0.01599473,1.00000000,1.00000000,4500.49352952,-0.00147928,0.04217634,0.00026344,630.45873930,0.06589223,28.00000000
pullin_28db_fp31p25_cp0p3,12.00000000,600,LongFast,0,1,1,NWPR,200,27.20406707,1,24.87471021,1,26.29386494,0.83143842,1,1,-0.93139423,-0.40530686,0.17180744,-0.01372207,4500.51218452,669.54595429,20.00000000,8.00000000,160.00000000,160.00000000,160.00000000,160.00000000,1,1,0.03857245,0.00003043,0,0.03627571,0.01580219,1.00000000,1.00000000,4500.53533263,-0.02314811,0.04142002,-0.00284757,669.59364794,-0.04769365,28.00000000
pullin_28db_fp31p25_cp0p3,13.00000000,650,LongFast,0,1,1,NWPR,200,27.20406707,1,24.87471021,1,26.29386494,0.88071249,1,1,0.20896639,-0.35874903,0.15597591,0.00221276,4500.56858090,708.70403526,20.00000000,8.00000000,160.00000000,160.00000000,160.00000000,160.00000000,1,1,0.04135301,0.00002765,0,0.03750136,0.01543531,1.00000000,1.00000000,4500.57635020,-0.00776929,0.04060563,0.00074737,708.72891672,-0.02488146,28.00000000
pullin_28db_fp31p25_cp0p3,14.00000000,700,LongFast,0,1,1,NWPR,200,27.20406707,1,24.87471021,1,26.29386494,0.83065992,1,1,-0.95155803,-0.20053287,0.13788683,0.00487400,4500.63516334,747.86369103,20.00000000,8.00000000,160.00000000,160.00000000,160.00000000,160.00000000,1,1,0.04484545,0.00002513,0,0.03891887,0.01510107,1.00000000,1.00000000,4500.61652530,0.01863804,0.03973549,0.00510996,747.86453855,-0.00084752,28.00000000
pullin_28db_fp31p25_cp0p3,15.00000000,750,LongLock,0,1,1,NWPR,25,27.30151155,1,29.56500885,1,27.94995781,0.84317417,1,1,0.02467469,0.01782458,0.38801679,0.01864539,4500.64970447,787.00717616,20.00000000,8.00000000,160.00000000,160.00000000,160.00000000,160.00000000,1,1,0.04032257,0.00002284,0,0.03910817,0.01470484,1.00000000,1.00000000,4500.65580339,-0.00609892,0.03881201,0.00151056,787.00050586,0.00667030,28.00000000
pullin_28db_fp31p25_cp0p3,16.00000000,800,LongLock,0,1,1,NWPR,25,27.73919330,1,28.02654303,1,27.79403845,0.85841268,1,1,-0.02562187,-0.00562733,0.19226833,0.00913423,4500.68066414,826.14923062,20.00000000,8.00000000,160.00000000,160.00000000,160.00000000,160.00000000,1,1,0.03889123,0.00002043,0,0.03563200,0.01412576,1.00000000,1.00000000,4500.69413241,-0.01346828,0.03783780,0.00105343,826.13681064,0.01241999,28.00000000
pullin_28db_fp31p25_cp0p3,17.00000000,850,LongLock,0,1,1,NWPR,25,27.88447292,1,27.96063930,1,27.42639396,0.84546616,1,1,0.73954083,0.02541090,0.15480719,0.00288215,4500.75051183,865.29271793,20.00000000,8.00000000,160.00000000,160.00000000,160.00000000,160.00000000,1,1,0.04309609,0.00001857,0,0.03618194,0.01379645,1.00000000,1.00000000,4500.73146298,0.01904885,0.03681557,0.00628052,865.27344440,0.01927353,28.00000000
pullin_28db_fp31p25_cp0p3,18.00000000,900,Medium,0,1,1,NWPR,25,27.88285331,1,26.75590495,1,27.14652210,0.83062368,1,1,0.33941309,0.04699903,0.29241406,0.00581717,4500.78551732,904.43766217,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,1,1,0.04219690,0.00001688,0,0.03899975,0.01359422,1.00000000,1.00000000,4500.76774850,0.01776882,0.03574818,0.00644872,904.41039827,0.02726390,28.00000000
pullin_28db_fp31p25_cp0p3,19.00000000,950,Medium,0,1,1,NWPR,25,27.88285331,1,26.75590495,1,27.14652210,0.80359137,1,1,-0.00219162,-0.13668683,0.22867850,-0.02746947,4500.78203716,943.56405621,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,1,1,0.03657990,0.00001534,0,0.03971930,0.01330392,1.00000000,1.00000000,4500.80294528,-0.02090813,0.03463862,0.00194128,943.54766296,0.01639325,28.00000000
