scenario,time_s,frame_id,state,state_pending,frame_valid,cn0_valid,cn0_method,cn0_window_blocks,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,cn0_control_valid,cn0_control_db_hz,pli,fll_locked,dll_locked,fll_latest_hz,fll_mean_hz,fll_se_hz,dll_mean_chips,doppler_hz,tracked_code_phase_chips,coherent_ms,noncoherent_blocks,carrier_obs_ms,carrier_update_ms,dll_obs_ms,dll_update_ms,use_phase,use_frequency,carrier_rate_hz_s,kf_rate_noise_hz2_s3,kf_health_valid,kf_freq_sigma_hz,kf_rate_sigma_hz_s,kf_freq_nis,kf_freq_accept_ratio,truth_doppler_hz,doppler_error_hz,truth_doppler_rate_hz_s,rate_error_hz_s,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
pullin_28db_fp31p25_cp0p3,0.02000000,1,PullIn,0,1,0,M2M4,1000,0.00000000,0,0.00000000,0,0.00000000,0.28188098,0,1,0.00000000,0.00000000,0.00000000,0.04272794,4468.75000000,201.07717391,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,0.00000000,0.00010000,0,100.00000060,0.50000200,1.00000000,1.00000000,4500.00092360,-31.25092360,0.04618032,-0.04618032,200.78260878,0.29456514,28.00000000
pullin_28db_fp31p25_cp0p3,1.00000000,50,PullIn,0,1,1,M2M4,1000,29.45714079,0,0.00000000,0,0.00000000,0.14958956,1,1,-0.65069931,0.71683525,0.69432007,-0.02018826,4499.96826269,239.18719659,1.00000000,20.00000000,100.00000000,20.00000000,20.00000000,20.00000000,0,1,-0.00053230,0.00009122,1,2.86092160,0.49943719,0.16144234,1.00000000,4500.04617798,-0.07791528,0.04616406,-0.04669636,239.13063557,0.05656103,28.00000000
pullin_28db_fp31p25_cp0p3,2.00000000,100,Lock,0,1,0,NWPR,1500,0.00000000,0,0.00000000,0,0.00000000,0.96321149,0,0,-5.22077576,-0.45617979,2.30855704,0.13640498,4499.73620286,278.04820141,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,-0.03200180,0.00008255,0,0.59976841,0.47626398,1.00000000,1.00000000,4500.09230423,-0.35610138,0.04607652,-0.07807832,278.26167251,-0.21347110,28.00000000
pullin_28db_fp31p25_cp0p3,3.00000000,150,Lock,0,1,0,NWPR,1500,0.00000000,1,27.18004582,1,26.74915648,0.81730043,1,0,0.96996489,0.00367194,0.51461634,0.10452989,4500.15860945,317.31712893,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.03805789,0.00007470,0,0.10300471,0.17462933,1.00000000,1.00000000,4500.13830723,0.02030222,0.04591762,-0.00785973,317.39311007,-0.07598114,28.00000000
pullin_28db_fp31p25_cp0p3,4.00000000,200,Lock,1,1,0,NWPR,200,0.00000000,1,26.56940211,1,26.80691687,0.85850362,1,1,-2.91279611,0.00497622,0.32287873,0.06499784,4500.17860651,356.51707810,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.03125176,0.00006760,0,0.04787463,0.04680150,1.00000000,1.00000000,4500.18411585,-0.00550933,0.04568784,-0.01443609,356.52494686,-0.00786876,28.00000000
pullin_28db_fp31p25_cp0p3,5.00000000,250,Strong,0,1,0,NWPR,200,0.00000000,1,25.89609298,1,26.95493636,0.83917674,1,1,-3.81487630,-0.10070721,0.55041626,-0.02355116,4500.24477293,395.70368924,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.04748286,0.00006118,0,0.03547348,0.02732035,1.00000000,1.00000000,4500.22965952,0.01511340,0.04538788,0.00209498,395.65718088,0.04650836,28.00000000
pullin_28db_fp31p25_cp0p3,6.00000000,300,Strong,0,1,1,NWPR,200,26.81329627,1,28.48048180,1,26.86005969,0.83757776,1,1,-0.45442316,-0.02067495,0.37184658,-0.03990410,4500.29080873,434.87575057,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.04755223,0.00005537,0,0.03110915,0.02177209,1.00000000,1.00000000,4500.27486850,0.01594023,0.04501860,0.00253363,434.78980953,0.08594104,28.00000000
pullin_28db_fp31p25_cp0p3,7.00000000,350,Strong,0,1,1,NWPR,200,26.95335196,1,26.75864138,1,26.99677508,0.84240615,1,1,1.20038403,0.06955971,0.36426117,-0.06299784,4500.33577963,474.03797785,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.04704388,0.00005011,0,0.02964501,0.01941339,1.00000000,1.00000000,4500.31967397,0.01610566,0.04458108,0.00246280,473.92282960,0.11514825,28.00000000
pullin_28db_fp31p25_cp0p3,8.00000000,400,Strong,0,1,1,NWPR,200,26.99418972,1,26.22122328,1,26.82870145,0.84833908,1,1,-0.84627218,-0.03189657,0.35429817,-0.09698830,4500.33651223,513.19004023,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.03651394,0.00004535,0,0.02896924,0.01802512,1.00000000,1.00000000,4500.36400832,-0.02749609,0.04407656,-0.00756262,513.05623728,0.13380296,28.00000000
pullin_28db_fp31p25_cp0p3,9.00000000,450,Strong,0,1,1,NWPR,200,26.94967230,1,28.03299711,1,26.82801681,0.80456518,1,1,2.45942554,0.00900139,0.41791255,-0.09251395,4500.40901729,552.35465543,20.00000000,1.00000000,20.00000000,20.00000000,20.00000000,20.00000000,1,1,0.04388151,0.00004104,0,0.02899474,0.01710243,1.00000000,1.00000000,4500.40780525,0.00121204,0.04350650,0.00037501,552.19002818,0.16462725,28.00000000
