scenario,time_s,frame_id,state,state_pending,frame_valid,cn0_valid,cn0_method,cn0_window_blocks,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,fll_locked,dll_locked,fll_latest_hz,fll_mean_hz,fll_se_hz,dll_mean_chips,doppler_hz,tracked_code_phase_chips,coherent_ms,noncoherent_blocks,carrier_obs_ms,carrier_update_ms,dll_obs_ms,dll_update_ms,use_phase,use_frequency,carrier_rate_hz_s,kf_rate_noise_hz2_s3,kf_health_valid,kf_freq_sigma_hz,kf_rate_sigma_hz_s,kf_freq_nis,kf_freq_accept_ratio,truth_doppler_hz,doppler_error_hz,truth_doppler_rate_hz_s,rate_error_hz_s,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
pullin_22db_fm62p5_cp0p30,10.00000000,500,LongFast,0,1,1,NWPR,200,21.54033915,1,21.88776649,0.40187693,1,1,-1.95615822,0.10762765,0.93373495,0.03566859,4500.34902989,229.35095054,20.00000000,8.00000000,160.00000000,160.00000000,160.00000000,160.00000000,0,1,0.02681371,0.00000043,1,0.66034288,0.14339629,0.45333620,1.00000000,4500.45100000,-0.10197011,0.04287249,-0.01605878,229.22226149,0.12868905,22.00000000
pullin_22db_fm62p5_cp0p30,11.00000000,550,LongFast,0,1,1,NWPR,200,21.59013262,1,21.83118275,0.35724128,1,1,1.23784378,-0.26565005,0.61683161,-0.00210165,4500.26619546,232.14312886,20.00000000,8.00000000,160.00000000,160.00000000,160.00000000,160.00000000,0,1,0.00815692,0.00000040,1,0.75264241,0.13616743,0.22718245,1.00000000,4500.49352952,-0.22733406,0.04217634,-0.03401943,232.14464612,-0.00151725,22.00000000
pullin_22db_fm62p5_cp0p30,12.00000000,600,LongLock,0,1,1,NWPR,200,21.68046525,1,21.13269986,0.19158664,1,1,-0.32209750,-0.06879037,0.25330712,0.11413562,4500.27979058,235.04501519,20.00000000,8.00000000,160.00000000,160.00000000,160.00000000,160.00000000,0,1,0.00891313,0.00000038,0,0.82236348,0.12743649,0.72690737,1.00000000,4500.53533263,-0.25554205,0.04142002,-0.03250688,235.06705813,-0.02204293,22.00000000
pullin_22db_fm62p5_cp0p30,13.00000000,650,LongLock,0,1,1,NWPR,200,21.72629106,1,23.26089975,0.34950033,1,1,0.86866122,0.54452568,0.32598662,0.05649103,4500.42343859,238.00026127,20.00000000,8.00000000,160.00000000,160.00000000,160.00000000,160.00000000,0,1,0.02640439,0.00000035,1,0.87003630,0.11792340,0.30499100,1.00000000,4500.57635020,-0.15291161,0.04060563,-0.01420124,237.98949703,0.01076424,22.00000000
pullin_22db_fm62p5_cp0p30,14.00000000,700,LongLock,0,1,1,NWPR,200,21.82650240,1,19.52793554,0.38644442,1,1,0.94997869,0.28004427,0.28635199,0.02340869,4500.44604910,240.88672652,20.00000000,8.00000000,160.00000000,160.00000000,160.00000000,160.00000000,0,1,0.02594595,0.00000032,1,0.88357213,0.10658326,0.14110605,1.00000000,4500.61652530,-0.17047620,0.03973549,-0.01378953,240.91196229,-0.02523578,22.00000000
pullin_22db_fm62p5_cp0p30,15.00000000,750,Medium,0,1,1,NWPR,200,21.65414372,1,21.83116279,0.90554078,0,0,-0.31555216,0.00000000,0.00000000,0.00000000,4500.29546648,243.85905090,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.00745444,0.00000031,0,0.91167658,0.09892784,1.00000000,1.00000000,4500.65580339,-0.36033691,0.03881201,-0.03135757,243.83445336,0.02459754,22.00000000
pullin_22db_fm62p5_cp0p30,16.00000000,800,Medium,0,1,1,NWPR,200,21.62594853,1,22.07900142,0.38584335,1,1,0.55909687,0.22904617,0.32737081,-0.00207694,4500.51151163,246.79556980,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.02793780,0.00000029,0,0.24489009,0.03326460,0.91557517,1.00000000,4500.69413241,-0.18262078,0.03783780,-0.00990000,246.75696963,0.03860017,22.00000000
pullin_22db_fm62p5_cp0p30,17.00000000,850,Medium,0,1,1,NWPR,200,21.54713871,1,18.05599821,0.40195431,1,1,0.00000000,0.20560494,0.15540248,-0.00212668,4500.67231305,249.72923696,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.04017978,0.00000027,0,0.19375333,0.02821226,0.50118206,1.00000000,4500.73146298,-0.05914993,0.03681557,0.00336421,249.67951046,0.04972651,22.00000000
pullin_22db_fm62p5_cp0p30,18.00000000,900,Medium,0,1,1,NWPR,200,21.32808187,1,22.06573368,0.62793478,1,1,0.16380166,0.13922747,0.09662452,-0.02054189,4500.73163309,252.64424732,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.04218966,0.00000025,1,0.15880357,0.02468076,0.19384965,1.00000000,4500.76774850,-0.03611541,0.03574818,0.00644148,252.60207520,0.04217212,22.00000000
pullin_22db_fm62p5_cp0p30,19.00000000,950,Medium,0,1,1,NWPR,200,21.36654612,1,22.00499455,0.62896107,1,1,0.14218842,0.11407314,0.07543956,-0.03553329,4500.77999531,255.55458879,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.04280612,0.00000024,1,0.15583261,0.02328091,0.09361841,1.00000000,4500.80294528,-0.02294998,0.03463862,0.00816750,255.52466314,0.02992564,22.00000000
pullin_22db_fm62p5_cp0p30,20.00000000,1000,Medium,0,1,1,NWPR,200,21.40285009,1,21.71020652,0.67630241,1,1,-0.44110762,0.05084808,0.08563166,-0.02879928,4500.75369102,258.47657712,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03638985,0.00000022,1,0.14361141,0.02134176,0.73769815,1.00000000,4500.83701270,-0.08332168,0.03348997,0.00289988,258.44727358,0.02930354,22.00000000
